disease,symptoms,precautions
Fungal infection,"itching, skin rash, nodal skin eruptions, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
GERD,"acidity, ulcers on tongue, vomiting, cough, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
GERD,"stomach pain, ulcers on tongue, vomiting, cough, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
GERD,"stomach pain, acidity, vomiting, cough, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
GERD,"stomach pain, acidity, ulcers on tongue, cough, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",cold baths | anti itch medicine | consult doctor | eat healthy
Drug Reaction,"itching, skin rash, stomach pain, burning micturition, spotting  urination",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"itching, stomach pain, burning micturition, spotting  urination",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"itching, skin rash, burning micturition, spotting  urination",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"itching, skin rash, stomach pain, spotting  urination",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"itching, skin rash, stomach pain, burning micturition",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"skin rash, stomach pain, burning micturition, spotting  urination",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"itching, stomach pain, burning micturition, spotting  urination",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"itching, skin rash, burning micturition, spotting  urination",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"itching, skin rash, stomach pain, spotting  urination",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Drug Reaction,"itching, skin rash, stomach pain, burning micturition",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Peptic ulcer diseae,"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"vomiting, indigestion, abdominal pain, passage of gases, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"vomiting, indigestion, abdominal pain, passage of gases, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"vomiting, indigestion, loss of appetite, passage of gases, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
Peptic ulcer diseae,"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol
AIDS,"muscle wasting, patches in throat, high fever, extra marital contacts",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"patches in throat, high fever, extra marital contacts",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"muscle wasting, high fever, extra marital contacts",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"muscle wasting, patches in throat, extra marital contacts",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"muscle wasting, patches in throat, high fever",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"muscle wasting, patches in throat, high fever, extra marital contacts",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"muscle wasting, patches in throat, high fever, extra marital contacts",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"patches in throat, high fever, extra marital contacts",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"muscle wasting, high fever, extra marital contacts",avoid open cuts | wear ppe if possible | consult doctor | follow up
AIDS,"muscle wasting, patches in throat, high fever",avoid open cuts | wear ppe if possible | consult doctor | follow up
Diabetes ,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"fatigue, weight loss, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"fatigue, weight loss, restlessness, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"fatigue, weight loss, restlessness, lethargy, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, obesity, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, excessive hunger, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Diabetes ,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, increased appetite, polyuria",have balanced diet | exercise | consult doctor | follow up
Gastroenteritis,"vomiting, sunken eyes, dehydration, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"vomiting, sunken eyes, dehydration, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"sunken eyes, dehydration, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"vomiting, dehydration, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"vomiting, sunken eyes, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"vomiting, sunken eyes, dehydration",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"vomiting, sunken eyes, dehydration, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"sunken eyes, dehydration, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"vomiting, dehydration, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Gastroenteritis,"vomiting, sunken eyes, diarrhoea",stop eating solid food for while | try taking small sips of water | rest | ease back into eating
Bronchial Asthma,"fatigue, cough, high fever, breathlessness, family history, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"cough, high fever, breathlessness, family history, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"fatigue, high fever, breathlessness, family history, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"fatigue, cough, breathlessness, family history, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"fatigue, cough, high fever, family history, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"fatigue, cough, high fever, breathlessness, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"fatigue, cough, high fever, breathlessness, family history",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"fatigue, cough, high fever, breathlessness, family history, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"cough, high fever, breathlessness, family history, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Bronchial Asthma,"fatigue, high fever, breathlessness, family history, mucoid sputum",switch to loose cloothing | take deep breaths | get away from trigger | seek help
Hypertension ,"headache, chest pain, dizziness, loss of balance, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"chest pain, dizziness, loss of balance, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"headache, dizziness, loss of balance, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"headache, chest pain, loss of balance, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"headache, chest pain, dizziness, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"headache, chest pain, dizziness, loss of balance",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"headache, chest pain, dizziness, loss of balance, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"chest pain, dizziness, loss of balance, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"headache, dizziness, loss of balance, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Hypertension ,"headache, chest pain, loss of balance, lack of concentration",meditation | salt baths | reduce stress | get proper sleep
Migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"acidity, indigestion, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"acidity, indigestion, headache, excessive hunger, stiff neck, depression, irritability, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"acidity, indigestion, headache, blurred and distorted vision, stiff neck, depression, irritability, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, depression, irritability, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, irritability, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, visual disturbances",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Migraine,"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability",meditation | reduce stress | use poloroid glasses in sun | consult doctor
Cervical spondylosis,"back pain, weakness in limbs, neck pain, dizziness, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"back pain, weakness in limbs, neck pain, dizziness, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"weakness in limbs, neck pain, dizziness, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"back pain, neck pain, dizziness, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"back pain, weakness in limbs, dizziness, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"back pain, weakness in limbs, neck pain, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"back pain, weakness in limbs, neck pain, dizziness",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"back pain, weakness in limbs, neck pain, dizziness, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"weakness in limbs, neck pain, dizziness, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Cervical spondylosis,"back pain, neck pain, dizziness, loss of balance",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor
Paralysis (brain hemorrhage),"vomiting, headache, weakness of one body side, altered sensorium",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"vomiting, headache, weakness of one body side, altered sensorium",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"headache, weakness of one body side, altered sensorium",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"vomiting, weakness of one body side, altered sensorium",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"vomiting, headache, altered sensorium",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"vomiting, headache, weakness of one body side",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"vomiting, headache, weakness of one body side, altered sensorium",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"headache, weakness of one body side, altered sensorium",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"vomiting, weakness of one body side, altered sensorium",massage | eat healthy | exercise | consult doctor
Paralysis (brain hemorrhage),"vomiting, headache, altered sensorium",massage | eat healthy | exercise | consult doctor
Jaundice,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"itching, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"itching, vomiting, weight loss, high fever, yellowish skin, dark urine, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"itching, vomiting, fatigue, high fever, yellowish skin, dark urine, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Jaundice,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication
Malaria,"chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"chills, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"chills, vomiting, sweating, headache, nausea, diarrhoea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"chills, vomiting, high fever, headache, nausea, diarrhoea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"chills, vomiting, high fever, sweating, nausea, diarrhoea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Malaria,"chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out
Chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"itching, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"itching, skin rash, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"itching, skin rash, fatigue, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"itching, skin rash, fatigue, lethargy, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, swelled lymph nodes, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Chicken pox,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, malaise, red spots over body",use neem in bathing | consume neem leaves | take vaccine | avoid public places
Dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"skin rash, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"skin rash, chills, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"skin rash, chills, joint pain, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"skin rash, chills, joint pain, vomiting, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Dengue,"skin rash, chills, joint pain, vomiting, fatigue, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated
Typhoid,"chills, vomiting, fatigue, high fever, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, vomiting, fatigue, high fever, headache, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, abdominal pain, diarrhoea, toxic look (typhos), belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, diarrhoea, toxic look (typhos), belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, toxic look (typhos), belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos)",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
Typhoid,"chills, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",eat high calorie vegitables | antiboitic therapy | consult doctor | medication
hepatitis A,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
hepatitis A,"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
hepatitis A,"vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
hepatitis A,"joint pain, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital | wash hands through | avoid fatty spicy food | medication
